respondent_id,activity,skill
0,skill_cleaning,3
1,skill_cleaning,5
2,skill_cleaning,5
3,skill_cleaning,4
4,skill_cleaning,5
5,skill_cleaning,3
6,skill_cleaning,3
7,skill_cleaning,5
8,skill_cleaning,
9,skill_cleaning,1
10,skill_cleaning,4
11,skill_cleaning,4
12,skill_cleaning,4
13,skill_cleaning,5
14,skill_cleaning,4
15,skill_cleaning,4
16,skill_cleaning,
17,skill_cleaning,5
18,skill_cleaning,4
19,skill_cleaning,4
20,skill_cleaning,4
21,skill_cleaning,5
22,skill_cleaning,3
23,skill_cleaning,3
24,skill_cleaning,5
25,skill_cleaning,4
26,skill_cleaning,4
27,skill_cleaning,4
28,skill_cleaning,4
29,skill_cleaning,4
30,skill_cleaning,2
31,skill_cleaning,4
32,skill_cleaning,3
33,skill_cleaning,4
34,skill_cleaning,5
35,skill_cleaning,5
36,skill_cleaning,4
37,skill_cleaning,4
38,skill_cleaning,5
39,skill_cleaning,5
40,skill_cleaning,3
41,skill_cleaning,5
42,skill_cleaning,5
43,skill_cleaning,3
44,skill_cleaning,4
45,skill_cleaning,5
46,skill_cleaning,2
47,skill_cleaning,4
48,skill_cleaning,4
49,skill_cleaning,3
50,skill_cleaning,4
51,skill_cleaning,5
52,skill_cleaning,4
53,skill_cleaning,5
54,skill_cleaning,2
55,skill_cleaning,5
0,skill_normalization,3
1,skill_normalization,5
2,skill_normalization,5
3,skill_normalization,4
4,skill_normalization,4
5,skill_normalization,4
6,skill_normalization,3
7,skill_normalization,5
8,skill_normalization,
9,skill_normalization,1
10,skill_normalization,4
11,skill_normalization,4
12,skill_normalization,4
13,skill_normalization,5
14,skill_normalization,3
15,skill_normalization,4
16,skill_normalization,4
17,skill_normalization,5
18,skill_normalization,4
19,skill_normalization,5
20,skill_normalization,4
21,skill_normalization,5
22,skill_normalization,
23,skill_normalization,3
24,skill_normalization,3
25,skill_normalization,4
26,skill_normalization,3
27,skill_normalization,3
28,skill_normalization,4
29,skill_normalization,4
30,skill_normalization,3
31,skill_normalization,3
32,skill_normalization,3
33,skill_normalization,5
34,skill_normalization,3
35,skill_normalization,5
36,skill_normalization,3
37,skill_normalization,4
38,skill_normalization,5
39,skill_normalization,5
40,skill_normalization,3
41,skill_normalization,4
42,skill_normalization,5
43,skill_normalization,4
44,skill_normalization,4
45,skill_normalization,5
46,skill_normalization,3
47,skill_normalization,4
48,skill_normalization,4
49,skill_normalization,4
50,skill_normalization,4
51,skill_normalization,5
52,skill_normalization,3
53,skill_normalization,5
54,skill_normalization,2
55,skill_normalization,5
0,skill_outliers,3
1,skill_outliers,5
2,skill_outliers,5
3,skill_outliers,4
4,skill_outliers,3
5,skill_outliers,3
6,skill_outliers,5
7,skill_outliers,5
8,skill_outliers,
9,skill_outliers,1
10,skill_outliers,4
11,skill_outliers,4
12,skill_outliers,4
13,skill_outliers,1
14,skill_outliers,3
15,skill_outliers,5
16,skill_outliers,4
17,skill_outliers,5
18,skill_outliers,3
19,skill_outliers,3
20,skill_outliers,4
21,skill_outliers,5
22,skill_outliers,
23,skill_outliers,3
24,skill_outliers,3
25,skill_outliers,4
26,skill_outliers,3
27,skill_outliers,3
28,skill_outliers,4
29,skill_outliers,4
30,skill_outliers,3
31,skill_outliers,4
32,skill_outliers,3
33,skill_outliers,4
34,skill_outliers,5
35,skill_outliers,5
36,skill_outliers,3
37,skill_outliers,4
38,skill_outliers,4
39,skill_outliers,4
40,skill_outliers,3
41,skill_outliers,4
42,skill_outliers,5
43,skill_outliers,4
44,skill_outliers,2
45,skill_outliers,3
46,skill_outliers,2
47,skill_outliers,4
48,skill_outliers,4
49,skill_outliers,4
50,skill_outliers,4
51,skill_outliers,5
52,skill_outliers,4
53,skill_outliers,5
54,skill_outliers,1
55,skill_outliers,5
0,skill_integration,3
1,skill_integration,3
2,skill_integration,4
3,skill_integration,4
4,skill_integration,3
5,skill_integration,4
6,skill_integration,5
7,skill_integration,5
8,skill_integration,
9,skill_integration,1
10,skill_integration,4
11,skill_integration,4
12,skill_integration,4
13,skill_integration,3
14,skill_integration,4
15,skill_integration,4
16,skill_integration,2
17,skill_integration,5
18,skill_integration,4
19,skill_integration,5
20,skill_integration,2
21,skill_integration,5
22,skill_integration,
23,skill_integration,3
24,skill_integration,5
25,skill_integration,5
26,skill_integration,5
27,skill_integration,4
28,skill_integration,4
29,skill_integration,4
30,skill_integration,3
31,skill_integration,5
32,skill_integration,3
33,skill_integration,5
34,skill_integration,5
35,skill_integration,5
36,skill_integration,4
37,skill_integration,4
38,skill_integration,5
39,skill_integration,5
40,skill_integration,3
41,skill_integration,3
42,skill_integration,5
43,skill_integration,3
44,skill_integration,3
45,skill_integration,2
46,skill_integration,2
47,skill_integration,2
48,skill_integration,4
49,skill_integration,2
50,skill_integration,4
51,skill_integration,3
52,skill_integration,5
53,skill_integration,5
54,skill_integration,1
55,skill_integration,4
0,skill_transformation,3
1,skill_transformation,4
2,skill_transformation,5
3,skill_transformation,4
4,skill_transformation,3
5,skill_transformation,4
6,skill_transformation,3
7,skill_transformation,5
8,skill_transformation,
9,skill_transformation,1
10,skill_transformation,3
11,skill_transformation,5
12,skill_transformation,4
13,skill_transformation,4
14,skill_transformation,2
15,skill_transformation,5
16,skill_transformation,2
17,skill_transformation,5
18,skill_transformation,3
19,skill_transformation,5
20,skill_transformation,3
21,skill_transformation,5
22,skill_transformation,2
23,skill_transformation,3
24,skill_transformation,3
25,skill_transformation,5
26,skill_transformation,3
27,skill_transformation,2
28,skill_transformation,3
29,skill_transformation,3
30,skill_transformation,3
31,skill_transformation,4
32,skill_transformation,3
33,skill_transformation,5
34,skill_transformation,3
35,skill_transformation,5
36,skill_transformation,3
37,skill_transformation,5
38,skill_transformation,5
39,skill_transformation,5
40,skill_transformation,3
41,skill_transformation,3
42,skill_transformation,5
43,skill_transformation,4
44,skill_transformation,4
45,skill_transformation,
46,skill_transformation,1
47,skill_transformation,3
48,skill_transformation,3
49,skill_transformation,3
50,skill_transformation,3
51,skill_transformation,4
52,skill_transformation,3
53,skill_transformation,4
54,skill_transformation,1
55,skill_transformation,4
0,skill_validation,3
1,skill_validation,4
2,skill_validation,5
3,skill_validation,5
4,skill_validation,3
5,skill_validation,4
6,skill_validation,4
7,skill_validation,4
8,skill_validation,
9,skill_validation,1
10,skill_validation,3
11,skill_validation,4
12,skill_validation,4
13,skill_validation,4
14,skill_validation,3
15,skill_validation,5
16,skill_validation,3
17,skill_validation,4
18,skill_validation,4
19,skill_validation,4
20,skill_validation,3
21,skill_validation,5
22,skill_validation,3
23,skill_validation,3
24,skill_validation,3
25,skill_validation,4
26,skill_validation,3
27,skill_validation,3
28,skill_validation,3
29,skill_validation,4
30,skill_validation,2
31,skill_validation,5
32,skill_validation,3
33,skill_validation,4
34,skill_validation,2
35,skill_validation,5
36,skill_validation,5
37,skill_validation,3
38,skill_validation,5
39,skill_validation,4
40,skill_validation,3
41,skill_validation,2
42,skill_validation,5
43,skill_validation,3
44,skill_validation,4
45,skill_validation,4
46,skill_validation,3
47,skill_validation,3
48,skill_validation,5
49,skill_validation,3
50,skill_validation,4
51,skill_validation,3
52,skill_validation,3
53,skill_validation,4
54,skill_validation,1
55,skill_validation,4
0,skill_pipelines,3
1,skill_pipelines,3
2,skill_pipelines,3
3,skill_pipelines,3
4,skill_pipelines,2
5,skill_pipelines,4
6,skill_pipelines,3
7,skill_pipelines,5
8,skill_pipelines,
9,skill_pipelines,1
10,skill_pipelines,3
11,skill_pipelines,3
12,skill_pipelines,3
13,skill_pipelines,5
14,skill_pipelines,3
15,skill_pipelines,4
16,skill_pipelines,2
17,skill_pipelines,4
18,skill_pipelines,3
19,skill_pipelines,4
20,skill_pipelines,2
21,skill_pipelines,5
22,skill_pipelines,
23,skill_pipelines,4
24,skill_pipelines,2
25,skill_pipelines,4
26,skill_pipelines,2
27,skill_pipelines,4
28,skill_pipelines,4
29,skill_pipelines,4
30,skill_pipelines,1
31,skill_pipelines,5
32,skill_pipelines,3
33,skill_pipelines,5
34,skill_pipelines,3
35,skill_pipelines,3
36,skill_pipelines,5
37,skill_pipelines,3
38,skill_pipelines,4
39,skill_pipelines,5
40,skill_pipelines,3
41,skill_pipelines,2
42,skill_pipelines,5
43,skill_pipelines,1
44,skill_pipelines,2
45,skill_pipelines,4
46,skill_pipelines,3
47,skill_pipelines,
48,skill_pipelines,5
49,skill_pipelines,3
50,skill_pipelines,4
51,skill_pipelines,4
52,skill_pipelines,5
53,skill_pipelines,5
54,skill_pipelines,2
55,skill_pipelines,5
0,skill_monitoring,3
1,skill_monitoring,3
2,skill_monitoring,3
3,skill_monitoring,4
4,skill_monitoring,2
5,skill_monitoring,3
6,skill_monitoring,5
7,skill_monitoring,3
8,skill_monitoring,
9,skill_monitoring,1
10,skill_monitoring,4
11,skill_monitoring,3
12,skill_monitoring,3
13,skill_monitoring,5
14,skill_monitoring,2
15,skill_monitoring,4
16,skill_monitoring,3
17,skill_monitoring,3
18,skill_monitoring,3
19,skill_monitoring,4
20,skill_monitoring,2
21,skill_monitoring,4
22,skill_monitoring,
23,skill_monitoring,3
24,skill_monitoring,2
25,skill_monitoring,4
26,skill_monitoring,3
27,skill_monitoring,
28,skill_monitoring,3
29,skill_monitoring,3
30,skill_monitoring,1
31,skill_monitoring,4
32,skill_monitoring,3
33,skill_monitoring,5
34,skill_monitoring,
35,skill_monitoring,5
36,skill_monitoring,4
37,skill_monitoring,3
38,skill_monitoring,5
39,skill_monitoring,4
40,skill_monitoring,2
41,skill_monitoring,1
42,skill_monitoring,3
43,skill_monitoring,1
44,skill_monitoring,2
45,skill_monitoring,4
46,skill_monitoring,3
47,skill_monitoring,
48,skill_monitoring,3
49,skill_monitoring,2
50,skill_monitoring,5
51,skill_monitoring,3
52,skill_monitoring,3
53,skill_monitoring,4
54,skill_monitoring,1
55,skill_monitoring,3
0,skill_libs,3
1,skill_libs,4
2,skill_libs,4
3,skill_libs,4
4,skill_libs,4
5,skill_libs,4
6,skill_libs,4
7,skill_libs,4
8,skill_libs,
9,skill_libs,1
10,skill_libs,4
11,skill_libs,3
12,skill_libs,5
13,skill_libs,5
14,skill_libs,3
15,skill_libs,4
16,skill_libs,3
17,skill_libs,5
18,skill_libs,3
19,skill_libs,1
20,skill_libs,4
21,skill_libs,4
22,skill_libs,2
23,skill_libs,4
24,skill_libs,3
25,skill_libs,5
26,skill_libs,3
27,skill_libs,3
28,skill_libs,4
29,skill_libs,4
30,skill_libs,1
31,skill_libs,4
32,skill_libs,3
33,skill_libs,5
34,skill_libs,3
35,skill_libs,3
36,skill_libs,4
37,skill_libs,5
38,skill_libs,5
39,skill_libs,3
40,skill_libs,5
41,skill_libs,3
42,skill_libs,5
43,skill_libs,4
44,skill_libs,4
45,skill_libs,4
46,skill_libs,3
47,skill_libs,3
48,skill_libs,3
49,skill_libs,4
50,skill_libs,4
51,skill_libs,5
52,skill_libs,3
53,skill_libs,5
54,skill_libs,2
55,skill_libs,5
0,skill_split,3
1,skill_split,5
2,skill_split,5
3,skill_split,5
4,skill_split,5
5,skill_split,4
6,skill_split,5
7,skill_split,4
8,skill_split,
9,skill_split,1
10,skill_split,4
11,skill_split,4
12,skill_split,5
13,skill_split,2
14,skill_split,3
15,skill_split,4
16,skill_split,3
17,skill_split,5
18,skill_split,3
19,skill_split,5
20,skill_split,4
21,skill_split,5
22,skill_split,3
23,skill_split,4
24,skill_split,3
25,skill_split,4
26,skill_split,5
27,skill_split,3
28,skill_split,4
29,skill_split,5
30,skill_split,2
31,skill_split,4
32,skill_split,3
33,skill_split,5
34,skill_split,5
35,skill_split,5
36,skill_split,2
37,skill_split,5
38,skill_split,5
39,skill_split,3
40,skill_split,4
41,skill_split,4
42,skill_split,5
43,skill_split,4
44,skill_split,5
45,skill_split,5
46,skill_split,3
47,skill_split,5
48,skill_split,5
49,skill_split,5
50,skill_split,4
51,skill_split,5
52,skill_split,5
53,skill_split,5
54,skill_split,2
55,skill_split,5
