position,word
1,precisão
1,fonte
1,confiabilidade
1,ruído
1,precisão
1,consistência
1,treino
1,balanceamento
1,confiabilidade
1,qualidade
1,valor
1,indispensável
1,interdisciplinaridade
1,dataset
1,keys
1,relevância
1,relevância
1,consistência
1,tempo
1,prazo
1,corretude
1,dados não representativos da realidade/ precisão
1,limpeza
1,preciso
1,disponibilidade
1,imprescindível
1,outliers
1,consistência
1,consistência
1,diversidade
1,completude
1,balanceamento
1,origem
1,origem
1,fonte confiavel
1,coleta
1,confiabilidade
1,completeness
1,normalization
1,completitud
1,completeness
1,missing
1,null
1,inconsistency
1,enough data
1,noise
1,integrity
1,important
1,qualified (in target area algorithms)
1,reliablity
1,business
1,completeness
1,consistency
1,limpeza
1,nullity
1,foundation
2,consistência
2,estabilidade
2,disponibilidade
2,sinal
2,consistência
2,precisão
2,acurácia
2,atualização
2,validade
2,completude
2,confiabilidade
2,investimento
2,análise
2,qualidade
2,descritivo
2,consistência
2,consistência
2,corretude
2,otimização
2,requisito
2,quantidade
2,dados faltantes/completude
2,normalização
2,tratado
2,padronização
2,coerência
2,quantidade
2,estrutura
2,completude
2,quantidade
2,atualidade
2,consistência
2,tipo
2,processamento
2,padrao
2,fonte
2,rastreabilidade
2,distribution
2,outliers
2,consitencia
2,integrity
2,standartise
2,null data
2,complete data
2,clarity
2,symmetry
2,outliers
2,abundant ( give space for later filtering)
2,completeness
2,visualisation
2,reliability
2,representativeness
2,padronização
2,normalization
2,accuracy
3,completude
3,necessário
3,atualização
3,teste
3,completude
3,completude
3,split
3,viés
3,trasparência
3,precisão
3,segurança
3,custoso
3,autorização
3,quantidade
3,afirmativo
3,precisão
3,integridade
3,representatividade
3,reuso
3,integração
3,iid
3,falta de histórico/rastreabilidade
3,encoder
3,transformado
3,organização
3,conformidade
3,indefinido
3,validade
3,relevância
3,precisão
3,diversidade
3,volume
3,escala
3,normalização
3,limpeza
3,banco de dados
3,relevância
3,bias
3,anova
3,relevancia
3,accuracy
3,volume
3,data analysis
3,incompleteness
3,real data
3,organisation
3,sanitize
3,dataleakage
3,formatted (to open sourced data like opendrive)
3,comprehensiblity
3,cleaning
3,variance
3,completeness
3,normalização
3,multicollinearity
3,consistency
4,relevância
4,essencial
4,integridade
4,informação
4,relevância
4,relevância
4,diversas fontes
4,escalabilidade
4,consistência
4,eficiência
4,desempenho
4,demorado
4,especialistas
4,pipeline
4,coesão
4,credibilidade
4,acessibilidade
4,conformidade
4,integração
4,qualidade
4,confiabilidade
4,desconhecido de regras de negócio/ compreensibilidade
4,padronizacao
4,confiável
4,verificação
4,resultado
4,nulo
4,confiáveis
4,acurácia
4,confiabilidade
4,acurácia
4,completude
4,distribuição
4,distribuição
4,explicabilidade
4,anotaçao
4,consistência
4,volume
4,regression
4,precisión
4,reliability
4,subjectivity
4,plotting
4,old data (dont represent the current phenomenon)
4,format
4,read_me
4,signal
4,training
4,scale (as much as for basic algorithm verification)
4,compliance
4,eda
4,volume
4,standardization
4,validação
4,distinction
4,completeness
5,viés
5,determinante
5,processamento
5,validação
5,atualização
5,atualização
5,filtros
5,granularidade
5,relevância
5,eficácia
5,qualidade
5,negligenciado
5,técnica
5,outliners
5,identificável
5,acessibilidade
5,segurança
5,rastreabilidade
5,precisão
5,desempenho
5,compreensibilidade
5,dados atualizados/ atualidade
5,-
5,reuso
5,avaliação
5,confiabilidade
5,desbalanceamento
5,organizados
5,atualização
5,limpeza
5,volume
5,atualização
5,uso
5,precisão
5,relaçao
5,mediçao
5,sem viés
5,transferability
5,data dependency
5,datos actuales
5,traceability
5,outliers
5,distribution
5,data streaming
5,no duplication
5,credibility
5,provenance
5,approximation
5,cheap ( price depends on datasets)
5,incorrect labels
5,outlier
5,accuracy
5,balance
5,consistência
5,quantity
5,reliability
